Fruit,Quantity_kg,Price_per_kg_in_USD,Farmer_Name,Customer_Name
Orange,,2.11,John Smith,Linda Bickmore
Banana,,1.32,John Smith,Laura Adame
Grape,128,,John Smith,Elma Meeker
Pear,,2.85,John Smith,Christopher Brown
Apple,138,1.01,John Smith,Gary Finley
Orange,135,2.1,John Smith,Audrey Blackmon
Banana,92,,John Smith,Veronica Atkinson
Grape,88,1.83,John Smith,Palmer Munson
Pear,108,1.65,John Smith,Jefferey Frazier
Apple,85,1.51,John Smith,Nancy Hedges
Orange,,2.58,John Smith,Andrew Browning
Banana,51,2.5,John Smith,Tod Simonson
Grape,87,1.29,John Smith,Pamela Mastin
Pear,140,1.77,John Smith,Alvin Randell
Apple,,,John Smith,James Hession
Orange,97,,John Smith,John Adams
Banana,,3,John Smith,Wilma Daquilante
Grape,68,2.52,John Smith,Donna Harting
Pear,94,1.82,John Smith,Richard Jobe
Apple,99,2.69,John Smith,Catherine Britton
Orange,112,1.11,John Smith,Brian Lau
Banana,77,,John Smith,Rachel Dilley
Grape,114,1.49,John Smith,Joseph Lavadera
Pear,122,2.95,John Smith,Chris Butler
Apple,140,1.28,John Smith,Eugene Cuevas
Orange,75,2.61,John Smith,Delores Wilkins
Banana,90,2.8,John Smith,Curtis Eppler
Grape,,1.74,John Smith,William Johnson
Pear,98,2.74,John Smith,Dana Harsh
Apple,,2.62,John Smith,Carlos Lenz
Orange,,1.24,John Smith,Joseph Lindholm
Banana,136,2.52,John Smith,Jimmie Clark
Grape,72,1.06,John Smith,Ria Bryson
Pear,,1.87,John Smith,Bryan Hamilton
Apple,55,2.41,John Smith,John Maclean
Orange,,2.28,John Smith,Cordia Little
Banana,125,1.41,John Smith,Renee Gabe
Grape,72,1.81,John Smith,Robert Reynolds
Pear,71,2.58,John Smith,Eddie Yokley
Apple,142,1.01,John Smith,Pearl Quick
Orange,142,1.36,John Smith,Barbara Camarillo
Banana,82,2.25,John Smith,Gary Means
Grape,62,1.74,John Smith,Harry West
Pear,110,2.57,John Smith,Wayne Armendariz
Apple,,,John Smith,Christina Cremin
Orange,139,2.68,John Smith,Andrea Preston
Banana,,,John Smith,Polly Drury
Grape,83,2.92,John Smith,David Roman
Pear,,1.89,John Smith,Warren Toodle
Apple,96,1.57,John Smith,Stella Greco
Orange,102,,John Smith,Elizabeth Rviz
Banana,,2.06,John Smith,Sylvester Gribble
Grape,88,,John Smith,Celeste Rodriguez
Pear,133,,John Smith,Katherine Jonason
Apple,104,2.37,John Smith,Sandra Eckard
Orange,73,2.11,John Smith,Willis Stewart
Banana,112,1.9,John Smith,Carl Grant
Grape,,2.38,John Smith,Alejandro Johnson
Pear,102,1.84,John Smith,Charles Carmody
Apple,,1.83,John Smith,Alan Myers
Orange,114,2.06,John Smith,Paul Huertas
Banana,,2.08,John Smith,Erik Pratka
Grape,53,2.85,John Smith,Bonnie Witcher
Pear,129,1.38,John Smith,Barbara Holloman
Apple,57,2.39,John Smith,Kenneth Shultz
Orange,130,1.94,John Smith,Antonio White
Banana,102,2.43,John Smith,Robert Gelormino
Grape,112,1.74,John Smith,Harold Fleeman
Pear,104,,John Smith,Shirley Kakani
Apple,68,,John Smith,James Raffa
Orange,82,1.93,John Smith,Kenny Tuite
Banana,,2.72,John Smith,Christene Simpson
Grape,80,1.68,John Smith,Jimmy Booker
Pear,104,1.54,John Smith,Carolina Martin
Apple,,2.82,John Smith,Morgan Jones
Orange,111,2.82,John Smith,Gregory Grubbs
Banana,,2.96,John Smith,Jacob Kean
Grape,66,2.13,John Smith,Kari Johnson
Pear,56,,John Smith,Mary Romero
Apple,,1.9,John Smith,Kayla Ryan
Orange,76,1.05,John Smith,James Washington
Banana,51,1.01,John Smith,Holly Dykes
Grape,76,2.18,John Smith,Bill Durham
Pear,136,2.01,John Smith,Betty Salgado
Apple,107,,John Smith,Ken Cruse
Orange,118,1.88,John Smith,Simon Ambrose
Banana,115,2.87,John Smith,Margarita Brown
Grape,,1.21,John Smith,Carl Hall
Pear,121,,John Smith,Amanda Bell
Apple,63,2.55,John Smith,Phillip Brown
Orange,,1.9,John Smith,Susan Alexander
Banana,144,2.27,John Smith,Jacob Cucco
Grape,66,1.78,John Smith,Stephanie Hidvegi
Pear,,1.11,John Smith,Penny Clark
Apple,136,1.8,John Smith,Edna Flint
Orange,80,1.83,John Smith,Billy Diaz
Banana,,2.35,John Smith,Ethel Lopes
Grape,55,1.02,John Smith,Eileen Zumwalt
Pear,99,1.13,John Smith,Zoila Dunlap
Apple,93,3,John Smith,Sparkle Bridenbaker
Orange,67,1.53,John Smith,Martha Butler
Banana,64,2.15,John Smith,Shirley Millet
Grape,,2.29,John Smith,Mildred Roberts
Pear,,,John Smith,Carmen Hill
Apple,148,1.75,John Smith,Ronald Pinkston
Orange,111,2.1,John Smith,Fernando Haro
Banana,,1.45,John Smith,Edwin Manley
Grape,88,2.85,John Smith,Terri Pettigrew
Pear,83,,John Smith,Barbara Vera
Apple,52,1.44,John Smith,Caridad Smith
Orange,56,2.32,John Smith,Joseph Andon
Banana,106,,John Smith,Margaret Spears
Grape,134,2.47,John Smith,Leida Dawkins
Pear,,2.46,John Smith,Mona Wood
Apple,135,1.98,John Smith,William James
Orange,53,1.31,John Smith,Harry Sterner
Banana,61,2.19,John Smith,Juanita Mccormick
Grape,126,1.18,John Smith,Timothy Sisler
Pear,,1.33,John Smith,Loyd Parker
Apple,62,,John Smith,Wanda Nelson
Orange,51,,John Smith,Reginald Yeager
Banana,119,1.42,John Smith,Richard Fernberg
Grape,61,2.48,John Smith,George Koch
Pear,,1.01,John Smith,George Poe
Apple,99,2.88,John Smith,Larry Lindblom
Orange,144,2.77,John Smith,Scarlet Hernandez
Banana,98,2.17,John Smith,Mark Spradley
Grape,,1.57,John Smith,Barbara Neal
Pear,104,1.02,John Smith,Nettie Morrow
Apple,129,1.36,John Smith,Richard Chavez
Orange,77,1.99,John Smith,Jason Gilbreth
Banana,142,2.17,John Smith,James Masters
Grape,63,2.67,John Smith,Jessica Martin
Pear,54,1.4,John Smith,David Bonilla
Apple,,2.16,John Smith,Kyle Patterson
Orange,119,1.05,John Smith,Mary Farrer
Banana,134,1.77,John Smith,Daniel Pollard
Grape,59,1.98,John Smith,Hans Cepeda
Pear,66,2.03,John Smith,Robert Mcfadden
Apple,60,1.03,John Smith,Sylvia Depaul
Orange,127,2.4,John Smith,Helen Stewart
Banana,,2.46,John Smith,John Puckett
Grape,106,2.66,John Smith,James Phelps
Pear,146,1.94,John Smith,Lessie Hayashi
Apple,128,1.49,John Smith,Tammy Carpino
Orange,,2,John Smith,Stuart Sears
Banana,64,2.9,John Smith,Frederick Kirby
Grape,111,,John Smith,Thomas Taylor
Pear,69,,John Smith,Leroy Nerbonne
Apple,,1.61,John Smith,Simon Peters
Orange,,2.07,John Smith,Ruby Eggimann
Banana,,,John Smith,Virginia Arnold
Grape,,2.43,John Smith,William Trace
Pear,131,2.82,John Smith,Dale Anderson
Apple,129,1.28,John Smith,Patsy Ross
Orange,59,2.17,John Smith,James Maldonado
Banana,78,1.15,John Smith,Thomas Cecot
Grape,108,2.79,John Smith,Bernard Gutierrez
Pear,,1.66,John Smith,Debra Baker
Apple,100,2.93,John Smith,William San
Orange,133,,John Smith,Eduardo Reed
Banana,90,2.81,John Smith,Alma Diaz
Grape,,1.2,John Smith,Fred Porter
Pear,148,2.13,John Smith,Evelyn Elder
Apple,65,1.69,John Smith,Stephen Hawkins
Orange,141,2.72,John Smith,Rosie Chapman
Banana,87,2.34,John Smith,Calvin Falvo
Grape,,1.84,John Smith,Gilbert Rogers
Pear,130,2.55,John Smith,Anthony Neveu
Apple,93,1.74,John Smith,Gilbert Citron
Orange,110,1.48,John Smith,Kelly Boyd
Banana,143,1.66,John Smith,Lou Mccullough
Grape,77,2.28,John Smith,Mary Evans
Pear,76,1.19,John Smith,Sallie Bellard
Apple,,2.45,John Smith,Mary Cunningham
Orange,,2.16,John Smith,David Smith
Banana,135,1.69,John Smith,Bill Barnes
Grape,,1.04,John Smith,Cecil Carlton
Pear,51,2.95,John Smith,Matthew Whitney
Apple,53,1.24,John Smith,Tonya Eason
Orange,119,2.95,John Smith,Alfred Springer
Banana,135,1.54,John Smith,Camille Edwards
Grape,64,1.83,John Smith,Mattie Lobur
Pear,91,1.66,John Smith,William Henry
Apple,99,1.23,John Smith,Julian Olds
Orange,140,,John Smith,Carl Scott
Banana,106,2.02,John Smith,Rodney Brown
Grape,85,1.65,John Smith,Francis Ahr
Pear,57,2.59,John Smith,Alex Schilling
Apple,132,1.81,John Smith,Nancy Purcell
Orange,50,1.98,John Smith,Greta Krasley
Banana,124,2.5,John Smith,Audrey Aleman
Grape,,1.27,John Smith,Tracy Ervin
Pear,147,2.23,John Smith,Patrice Crimmins
Apple,145,2.79,John Smith,Jamie Ayala
Orange,126,,John Smith,Lawrence Campbell
Banana,106,1.53,John Smith,Claudia Hartsock
Grape,104,1.07,John Smith,Gloria Berry
Pear,119,1.75,John Smith,Richard Hutchings
Apple,81,2.31,John Smith,Thomas Griner
Orange,143,2.92,John Smith,Drucilla Melton
Banana,147,1.02,John Smith,Patricia Saddler
Grape,96,1.32,John Smith,Kenny Lavalette
Pear,122,2.79,John Smith,Judy Silberman
Apple,91,2.27,John Smith,Jay Flint
Orange,84,1.03,John Smith,Kayla Lingberg
Banana,107,2.95,John Smith,Jorge Montague
Grape,82,2.93,John Smith,Ryan Bohnert
Pear,136,1.54,John Smith,James Martin
Apple,109,1.56,John Smith,Scott Dougan
Orange,97,2.26,John Smith,Violet Anderson
Banana,104,2.37,John Smith,Floyd Dahlin
Grape,66,2.15,John Smith,Janie King
Pear,107,1.18,John Smith,Kimberly Jones
Apple,95,2.93,John Smith,Beverly Smith
Orange,141,,John Smith,Jennifer Tunson
Banana,125,2.09,John Smith,Jennifer Wilson
Grape,79,,John Smith,Candice Peno
Pear,88,1.64,John Smith,Henry Morrison
Apple,91,2.54,John Smith,Leslie Taylor
Orange,118,2.43,John Smith,Donna Ventura
Banana,60,2.72,John Smith,Donny Hamilton
Grape,54,2.59,John Smith,Evelyn Jenkins
Pear,124,1.19,John Smith,Carolyn Glenn
Apple,98,2.37,John Smith,Rosa Miller
Orange,57,2.38,John Smith,Veronica Valdez
Banana,108,2.55,John Smith,Johnathan Rutledge
Grape,102,2.78,John Smith,Frank Courtney
Pear,83,1.74,John Smith,Nancy Trevino
Apple,,1.57,John Smith,Carla Green
Orange,96,2.18,John Smith,Joel Cahill
Banana,96,1.74,John Smith,Ariel Alfano
Grape,95,2.52,John Smith,Sara Curbelo
Pear,96,1.19,John Smith,Ryan Mcguire
Apple,141,1.54,John Smith,James Hilt
Orange,,2.66,John Smith,Gilbert Gatlin
Banana,148,2.91,John Smith,Lisa Martinez
Grape,144,1.51,John Smith,Shawn Rhoads
Pear,,1.25,John Smith,Carla Roll
Apple,147,1.23,John Smith,Aurora Garcia
Orange,104,2.43,John Smith,Tracy Wene
Banana,115,,John Smith,John Lee
Grape,110,1.06,John Smith,William Acosta
Pear,97,1.1,John Smith,Steven Williams
Apple,52,2.37,John Smith,Harry Pearson
Orange,103,2.24,John Smith,Anna Cuthill
Banana,119,,John Smith,Mildred Nevarez
Grape,96,2.98,John Smith,Kyle Calvert
Pear,121,,John Smith,Maria Hall
Apple,,1.28,John Smith,Gregory Almodovar
Orange,97,1.62,John Smith,James Mcdaniel
Banana,,2.99,John Smith,Kaitlyn Potter
Grape,108,2.7,John Smith,Sandra Unger
Pear,,1.85,John Smith,Dorothy Smith
Apple,123,,John Smith,Marion Bostrom
Orange,125,2.57,John Smith,Gladys Heller
Banana,76,1.92,John Smith,Daniel Mayes
Grape,,2.6,John Smith,Lois Yoder
Pear,50,1.99,John Smith,Mary Baker
Apple,116,1.36,John Smith,Jose Grant
Orange,99,1.7,John Smith,Justin Bond
Banana,97,,John Smith,Winston Pineiro
Grape,,1.59,John Smith,Kenneth Mcdonnell
Pear,,1.78,John Smith,Lisa Hebel
Apple,94,1.26,John Smith,Ramona Pratt
Orange,,2.09,John Smith,Angela Bickel
Banana,54,,John Smith,Barbara Kelly
Grape,77,2.27,John Smith,Katrina Foushee
Pear,,2.89,John Smith,Sonja Fulton
Apple,147,2.04,John Smith,James Carbary
Orange,97,1.19,John Smith,Stuart Vincent
Banana,104,1.75,John Smith,Larry Thompson
Grape,92,1.61,John Smith,Elizabeth Kramer
Pear,115,2.45,John Smith,Samantha Sharpe
Apple,136,2.55,John Smith,Brenda Hardwick
Orange,142,1.89,John Smith,Rodger Keyser
Banana,,2.79,John Smith,Molly Sweet
Grape,104,2.76,John Smith,Shari Ackerley
Pear,81,2.73,John Smith,Tillie Greenup
Apple,127,1.82,John Smith,Harold Carlile
Orange,93,2.9,John Smith,Garry Smith
Banana,54,2,John Smith,Lyndsey Sheets
Grape,112,1.06,John Smith,John Garrison
Pear,145,,John Smith,Dean Button
Apple,,1.16,John Smith,Rachel Mcintosh
Orange,89,1.52,John Smith,Patricia Holman
Banana,,2.74,John Smith,Wm Mcgarry
Grape,121,1.95,John Smith,Elvera Parks
Pear,92,2.46,John Smith,Angela Muzyka
Apple,,2.58,John Smith,Jacqueline Cook
Orange,127,2.8,John Smith,John Miller
Banana,91,2.9,John Smith,Mary Velez
Grape,88,,John Smith,Dana Perez
Pear,50,2.13,John Smith,Paul Mitchell
Apple,58,1.28,John Smith,Lisa Hooper
Orange,128,1.01,John Smith,Elizabeth Poling
Banana,,1.75,John Smith,Brenda Woods
Grape,107,1.14,John Smith,Dorothy Hickam
Pear,60,1.17,John Smith,Lakeisha Hernandez
Apple,146,2.73,John Smith,Lisa Fleischmann
Orange,77,,John Smith,Anna Skrebes
Banana,,1.92,John Smith,Carmelo Dixon
Grape,124,,John Smith,Martin Sands
Pear,,1.68,John Smith,Carmen Sherlock
Apple,104,2.1,John Smith,Seth Edell
Orange,85,,John Smith,Darrell Shrader
Banana,,1.88,John Smith,Jamie Haynes
Grape,71,,John Smith,Robert Stuart
Pear,149,2.02,John Smith,Victoria Jacinto
Apple,112,1.8,John Smith,Loretta Brothers
Orange,134,1.03,John Smith,Carl Luke
Banana,86,1.28,John Smith,Elizabeth Pitonyak
Grape,73,2.41,John Smith,Tanisha Strope
Pear,91,2.72,John Smith,Michele Vaughan
Apple,126,2.11,John Smith,Stephanie Ramirez
Orange,138,2.04,John Smith,Beth Jacques
Banana,124,1.55,John Smith,Marcy Haynes
Grape,122,1.59,John Smith,Billy Luckman
Pear,129,1.83,John Smith,Mildred Reese
Apple,98,2.46,John Smith,Patricia Skelley
Orange,74,2.24,John Smith,Bruce Jackson
Banana,,1.71,John Smith,Jerry Cunningham
Grape,,2.18,John Smith,Angela Lauderdale
Pear,,1.69,John Smith,John Morrell
Apple,76,2.87,John Smith,Douglas King
Orange,,1.83,John Smith,Alexander Jackson
Banana,141,2.27,John Smith,David Dye
Grape,65,2.7,John Smith,Leah Nurse
Pear,131,1.51,John Smith,Maurice Gonzalez
Apple,,2.42,John Smith,William Knudsen
Orange,,1.98,John Smith,Todd Johns
Banana,99,1.24,John Smith,Lucy Brooks
Grape,72,2.84,John Smith,Harland Pickel
Pear,67,2.34,John Smith,George Compton
Apple,136,1.07,John Smith,Tia Humphrey
Orange,141,,John Smith,Celeste Valentino
Banana,132,1.73,John Smith,Donald Kinder
Grape,89,1.57,John Smith,Maria Herring
Pear,64,2.39,John Smith,George Castillo
Apple,132,2.52,John Smith,Wesley Reed
Orange,91,2.63,John Smith,Reginald Larve
Banana,58,1.87,John Smith,Christopher Coulson
Grape,71,1.25,John Smith,Joshua Zapata
Pear,144,1.56,John Smith,Tom Warnstaff
Apple,62,,John Smith,Randal Serdula
Orange,83,2.39,John Smith,Ryan Blansett
Banana,143,2.78,John Smith,Darrell Dent
Grape,135,1.06,John Smith,Juanita Hayter
Pear,124,2.92,John Smith,Russell Anderson
Apple,61,2.58,John Smith,Albert Watts
Orange,106,2.09,John Smith,Hyacinth Johnson
Banana,95,2.55,John Smith,Jean Roberts
Grape,58,,John Smith,Matthew Hoose
Pear,100,1.58,John Smith,Kelsie Whitten
Apple,122,1.23,John Smith,Edward Teran
Orange,,2.23,John Smith,Amy Kelso
Banana,,2.37,John Smith,Donald Overbey
Grape,107,2.97,John Smith,Mitchell Young
Pear,76,1.26,John Smith,Daryl Morris
Apple,77,2.34,John Smith,Richard Kohnen
Orange,130,1.53,John Smith,Fred Keyes
Banana,103,,John Smith,Gordon Barrett
Grape,145,2.6,John Smith,Diana Harrington
Pear,130,1.17,John Smith,Martha Braun
Apple,50,2.01,John Smith,Carlos Mills
Orange,78,2.54,John Smith,William Flach
Banana,142,2.27,John Smith,Jeffrey Speziale
Grape,132,2.04,John Smith,Wilma Herzberger
Pear,149,1.64,John Smith,Tanya Apple
Apple,102,1.51,John Smith,Kerry Diggs
Orange,106,,John Smith,Diane Thomas
Banana,,2.85,John Smith,Peter Perry
Grape,,1.36,John Smith,Mark Delacruz
Pear,67,2.75,John Smith,Joyce Davis
Apple,112,,John Smith,Tammy Green
Orange,120,,John Smith,Kelley Rains
Banana,133,1.25,John Smith,Larry Crowe
Grape,,1.85,John Smith,Amanda Sanders
Pear,136,1.79,John Smith,Barbara Wilson
Apple,51,2,John Smith,Shauna Butler
Orange,115,1.28,John Smith,Derek Kloke
Banana,141,,John Smith,George Dillon
Grape,58,2.2,John Smith,David Tilghman
Pear,53,2.54,John Smith,Lawrence Pulliam
Apple,66,1.31,John Smith,Linda Jones
Orange,,1.86,John Smith,Randy Pink
Banana,89,2.85,John Smith,Brian Kinlaw
Grape,,2.52,John Smith,Dana Fallon
Pear,93,,John Smith,Jason Rigaud
Apple,,1.16,John Smith,Paula Nader
Orange,125,,John Smith,Dee Hill
Banana,105,1.22,John Smith,Robert Priestley
Grape,141,1.99,John Smith,Marvin Groves
Pear,,1.54,John Smith,Matt Carpenter
Apple,145,,John Smith,Tracy Clarno
Orange,83,2.65,John Smith,Marshall Ferrer
Banana,86,1.07,John Smith,Amber Kalinowski
Grape,98,,John Smith,Nancy Rose
Pear,149,1.31,John Smith,Linda Blackshear
Apple,,1.68,John Smith,Rita Fenner
Orange,,2.49,John Smith,Joe Gepner
Banana,101,2.34,John Smith,Kevin Emery
Grape,,,John Smith,Marsha Watkins
Pear,60,1.11,John Smith,Irma Draper
Apple,98,1.09,John Smith,Shirley Yale
Orange,51,2.94,John Smith,Marva Jensen
Banana,,2.9,John Smith,Clarence Santos
Grape,104,1.69,John Smith,Robert Jimenez
Pear,117,,John Smith,Charles Ritz
Apple,80,1.24,John Smith,Anthony Weston
Orange,55,1.4,John Smith,John Engelhardt
Banana,134,3,John Smith,Marlene Leon
Grape,67,1.66,John Smith,Argentina Combs
Pear,71,,John Smith,Brenda Tipton
Apple,86,2.55,John Smith,Bobbie Harkavy
Orange,,2.51,John Smith,Maria Trinkle
Banana,112,1.16,John Smith,George Ahmad
Grape,137,,John Smith,Brandon Morris
Pear,148,1.42,John Smith,Gary Kroll
Apple,139,1.28,John Smith,Mary Urbina
Orange,,2.15,John Smith,Cesar Hain
Banana,114,1,John Smith,Sandy Silva
Grape,147,2.17,John Smith,William Smith
Pear,,1.87,John Smith,Christian Richmond
Apple,83,2.53,John Smith,Matthew Hansen
Orange,,2.85,John Smith,Rachel Fisher
Banana,78,2.02,John Smith,Kayla Fuson
Grape,72,1.5,John Smith,Richard Sanders
Pear,117,1.99,John Smith,Stacy Landers
Apple,,2.57,John Smith,Latanya Malton
Orange,,1.81,John Smith,Oscar Doak
Banana,133,2.02,John Smith,Maria Anderson
Grape,104,1.67,John Smith,Virginia Toner
Pear,125,1.73,John Smith,John Estes
Apple,,2.53,John Smith,Maria Gordon
Orange,69,1.38,John Smith,Aaron Gomez
Banana,56,1.92,John Smith,Brandy Warren
Grape,90,1.7,John Smith,Jarrett Rodriguez
Pear,120,2.15,John Smith,Adrian Morris
Apple,,1.53,John Smith,Rafaela Smith
Orange,86,2.31,John Smith,Ariel Pratt
Banana,119,2.48,John Smith,Leon Amisano
Grape,69,1.43,John Smith,Cindy Brewster
Pear,,1.6,John Smith,Randall Atkins
Apple,,2.17,John Smith,Kevin Finney
Orange,,1.11,John Smith,William Furstenberg
Banana,67,1.51,John Smith,Tom Keister
Grape,,1.94,John Smith,Cecilia Hardin
Pear,59,1.79,John Smith,Lindsey Kelley
Apple,57,1.61,John Smith,Thelma Wells
Orange,,1.96,John Smith,Elida Bess
Banana,117,2.73,John Smith,Christine Carrasco
Grape,,2.55,John Smith,Jackie Anderson
Pear,99,1.58,John Smith,Betty Wong
Apple,89,1.89,John Smith,Alan Champ
Orange,64,1.23,John Smith,Sheila Hicks
Banana,85,1.49,John Smith,Leroy Lindley
Grape,,2.92,John Smith,James Schieber
Pear,,2.01,John Smith,James Grobmyer
Apple,71,1.79,John Smith,Cindy Burgener
Orange,100,2.79,John Smith,Barbara Martz
Banana,107,1.85,John Smith,Connie Havel
Grape,126,2.71,John Smith,Helene Wilder
Pear,62,2.17,John Smith,Julie Flores
Apple,113,1.8,John Smith,Mary Varnell
Orange,135,2.11,John Smith,Emma Long
Banana,72,2.64,John Smith,Willie Erler
Grape,59,2.41,John Smith,Nichelle Medlar
Pear,136,2.38,John Smith,Juan Aguero
Apple,56,2.55,John Smith,Jessica Hennings
Orange,148,2.94,John Smith,Tyler Arndt
Banana,58,2.09,John Smith,Stephen Mckeever
Grape,,1.07,John Smith,Suzanne Vosburg
Pear,90,2.89,John Smith,Betty York
Apple,88,2.62,John Smith,Paul Hultgren
Orange,91,2.1,John Smith,Johnny Clark
Banana,,,John Smith,Connie Salisbury
Grape,81,2.77,John Smith,Mary Reynolds
Pear,111,2.58,John Smith,Matthew Wolf
Apple,109,2.19,John Smith,Beverly Dodson
Orange,75,1.49,John Smith,Charles Johnson
Banana,,1.48,John Smith,Vivian Glander
Grape,,1.09,John Smith,Kay Cox
Pear,80,1.4,John Smith,Terrence Mcginley
Apple,56,1.72,John Smith,Mark Gaut
Orange,103,2.37,John Smith,Jennifer Johnson
Banana,147,1.59,John Smith,Francis Bernier
Grape,85,2.4,John Smith,James Griffin
Pear,73,1.87,John Smith,Rudolf Rhoads
Apple,96,2.46,John Smith,Richard Vachon
Orange,74,,John Smith,John Brown
Banana,108,1.52,John Smith,Jackie Mallett
Grape,,2.51,John Smith,Betty Ortega
Pear,60,2.11,John Smith,Monte Golightly
Apple,83,1.06,John Smith,Raymond Muse
Orange,101,2.19,John Smith,Clyde Miller
Banana,,2.86,John Smith,Lois Leek
Grape,149,1.64,John Smith,Elizabeth Sill
Pear,131,1.49,John Smith,Mary Ali
Apple,71,1.22,John Smith,Kenneth Schlick
Orange,81,1.33,John Smith,Terry Siverling
Banana,112,2.82,John Smith,Stephanie Delossantos
Grape,,2.82,John Smith,Meredith Mentzer
Pear,111,2.85,John Smith,William Czapla
Apple,,2.99,John Smith,Steven Carathers
Orange,53,2.9,John Smith,Erik Hamilton
Banana,111,2.03,John Smith,Shelley Vannote
Grape,81,1.23,John Smith,Kimberly Odoms
Pear,58,2.57,John Smith,Ann Klein
Apple,,2.87,John Smith,Tracey Hunter
Orange,53,1.04,John Smith,Paul Howze
Banana,51,2.06,John Smith,Harold Hill
Grape,73,2.74,John Smith,David David
Pear,140,2.59,John Smith,Earl Rogers
Apple,117,2.5,John Smith,Sanjuana Rogriguez
Orange,81,1.44,John Smith,Karl Chalker
Banana,132,1.16,John Smith,Daniel Pruitt
Grape,82,2.67,John Smith,Camille Maxcy
Pear,80,,John Smith,Stephanie Matte
Apple,131,3,John Smith,Martha Urena
Orange,84,1.2,John Smith,Dustin Pierson
Banana,130,1.49,John Smith,Jerry Sohre
Grape,108,2.54,John Smith,Carla Smith
Pear,119,1.32,John Smith,Leila Albert
Apple,88,,John Smith,Lloyd Riggins
Orange,60,2.15,John Smith,Lori Henson
Banana,,2.72,John Smith,Fernando Mcintyre
Grape,95,1.14,John Smith,Veronica Tuite
Pear,65,1.15,John Smith,William Queen
Apple,,2.37,John Smith,Linda Gould
Orange,106,1.29,John Smith,Chris Martin
Banana,148,1.82,John Smith,Ruth Riekena
Grape,126,2.19,John Smith,Brian Banda
Pear,87,1.08,John Smith,Lee Robinson
Apple,87,1.12,John Smith,James Selkirk
Orange,101,2.18,John Smith,Miguel Wier
Banana,78,1.05,John Smith,Curtis Perry
Grape,74,2.75,John Smith,Joshua Gardner
Pear,67,1.48,John Smith,Carla Morris
Apple,129,2.14,John Smith,Michael Clark
Orange,97,2.38,John Smith,Dianne Schindler
Banana,,1.83,John Smith,George Lopez
Grape,66,1.02,John Smith,Audry Aguilar
Pear,147,1.34,John Smith,Nicole Belles
Apple,,2.45,John Smith,William Poteat
Orange,112,2.88,John Smith,Michael Jenkins
Banana,66,1.87,John Smith,Arthur Colley
Grape,74,1.51,John Smith,Anna Laughlin
Pear,,1.45,John Smith,Robert Storck
Apple,87,,John Smith,Cleopatra Rivas
Orange,115,2.39,John Smith,Patrice Sage
Banana,147,2.16,John Smith,Carl Earley
Grape,59,1.69,John Smith,Allen Murray
Pear,131,1.59,John Smith,Virgie Evans
Apple,119,2.92,John Smith,Robert Gaytan
Orange,,2.76,John Smith,Jesse Willis
Banana,118,,John Smith,Lawrence Williams
Grape,76,1.94,John Smith,Robert Church
Pear,54,1.54,John Smith,Robert Thomas
Apple,128,,John Smith,Scott Dixon
Orange,137,2.27,John Smith,Jennifer Dossett
Banana,131,,John Smith,Eddie Gillilan
Grape,147,1.4,John Smith,Margaret Schmidt
Pear,88,2.57,John Smith,Rachel Pridgeon
Apple,109,2.98,John Smith,Carolyn Proffitt
Orange,,1.19,John Smith,John Howell
Banana,85,1.03,John Smith,David Suggett
Grape,122,,John Smith,Jenny Erving
Pear,,2.82,John Smith,Howard Showers
Apple,110,2.37,John Smith,Phillip Prude
Orange,,1.35,John Smith,William Kruckenberg
Banana,,1.27,John Smith,Dale Johnstone
Grape,97,2.34,John Smith,Jodi Halloway
Pear,133,,John Smith,Alfred Kruse
Apple,,,John Smith,Ryan Hinaman
Orange,136,1.25,John Smith,Nellie Boynton
Banana,126,1.22,John Smith,Amanda Johnson
Grape,63,1.58,John Smith,Scott Bell
Pear,,,John Smith,Michael Chu
Apple,149,1.38,John Smith,Dorothy Williams
Orange,89,1.39,John Smith,Sam Cregan
Banana,110,,John Smith,Brian Cardero
Grape,110,1.02,John Smith,Sandra Voris
Pear,,2.81,John Smith,Edward Eddy
Apple,75,2.77,John Smith,Joyce Moreno
Orange,68,,John Smith,Paul Callaghan
Banana,,2.99,John Smith,Thomas Garcia
Grape,92,1.41,John Smith,Sharyn Sterling
Pear,95,2.92,John Smith,Barbara Yancy
Apple,115,,John Smith,John Sumpter
Orange,129,1.2,John Smith,Jane Washington
Banana,132,2.86,John Smith,James Jessee
Grape,79,,John Smith,Shona Visvardis
Pear,58,1.1,John Smith,Leon Kindl
Apple,58,1.91,John Smith,Molly Harrell
Orange,136,1.54,John Smith,Teresa Sierra
Banana,57,2.3,John Smith,Robert Martin
Grape,,,John Smith,Andrew Powell
Pear,76,1.02,John Smith,John Hudson
Apple,,,John Smith,Shirley Gunn
Orange,76,2.94,John Smith,Mae Paul
Banana,,2.25,John Smith,Arnold Gurnett
Grape,,1.04,John Smith,Monica Vil
Pear,,2.28,John Smith,James Casey
Apple,68,1.13,John Smith,Ann Tompkins
Orange,,2.43,John Smith,Jason Albritton
Banana,137,1.15,John Smith,Scott Wheaton
Grape,87,,John Smith,Aaron Reynolds
Pear,119,2.79,John Smith,Janet Meza
Apple,78,,John Smith,Dominic Powers
Orange,67,2.58,John Smith,Robert Goodwin
Banana,106,1.91,John Smith,Juan Fisher
Grape,79,1.33,John Smith,Rafael Alexander
Pear,82,2.99,John Smith,Willie Sojka
